CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,Renner,665,Germany,Female,20,10,0.0,1,1,1,94598.56,0
15600001,Fairweather,735,France,Female,34,9,0.0,3,0,1,151328.56,0
15600002,Duarte,661,Germany,Male,21,4,0.0,1,1,0,112890.1,0
15600003,Falk,840,Spain,Male,59,9,95527.71,2,1,1,152083.61,0
15600004,Schmitt,651,France,Male,41,0,0.0,2,1,0,147922.44,0
15600005,Hargrove,780,Germany,Male,40,2,114100.44,2,0,0,102563.77,1
15600006,Renner,744,Germany,Male,41,8,69623.85,2,1,0,105478.41,0
15600007,Abubakar,796,Germany,Female,45,10,110209.02,2,1,0,96098.66,1
15600008,Delacroix,839,France,Male,48,1,0.0,3,1,0,105546.18,1
15600009,Osei,481,France,Male,23,7,0.0,1,1,1,68565.14,0
15600010,Hallgren,675,France,Female,52,1,56333.99,2,1,1,119588.11,0
15600011,Girard,639,Germany,Male,51,8,0.0,2,1,1,110567.15,0
15600012,Dubois,661,Spain,Male,38,9,3000.0,1,1,0,65319.91,1
15600013,Osei,612,Germany,Male,37,5,0.0,1,0,0,122237.44,0
15600014,Bergstrom,598,France,Female,18,1,136277.08,2,1,1,170887.7,0
15600015,Girard,544,France,Male,26,2,120889.7,1,1,1,100473.84,0
15600016,Sorensen,659,Spain,Female,44,5,166195.12,2,1,1,103984.65,0
15600017,Renner,740,France,Female,51,8,64364.87,2,1,0,110591.19,1
15600018,Sorensen,603,Germany,Male,46,5,0.0,2,1,0,1000.0,0
15600019,Rousseau,618,Spain,Female,38,5,0.0,1,1,1,79068.83,0
15600020,Balogh,583,Germany,Male,58,6,107670.42,3,0,0,200000.0,1
15600021,Fontaine,555,France,Male,49,10,121250.0,4,0,1,102453.33,0
15600022,Bergstrom,627,Germany,Male,34,8,0.0,2,0,1,48393.63,0
15600023,Nakamura,683,Germany,Female,61,1,99289.71,1,0,0,97803.83,1
15600024,Weiss,771,Germany,Male,27,2,0.0,2,1,1,67562.03,0
15600025,Weiss,536,France,Male,23,3,0.0,1,0,1,109727.61,0
15600026,Osei,647,France,Female,34,2,97539.35,1,0,0,110537.62,0
15600027,Novak,763,France,Male,31,8,0.0,1,1,0,96387.65,0
15600028,Thibault,537,France,Female,35,10,140678.9,1,1,0,151278.66,0
